DOCID,TITLE,LASTNAME,FIRSTNAME,SESSION_ID,RANK,PAGE_NUMBER,PDF_DIAGNOSIS
bigi2017-ltc,Developing Resources for Automated Speech Processing of the African Language Naija (Nigerian Pidgin),Bigi,Brigitte,[O-oral-O2],2,0,
bigi2017-ltc,Developing Resources for Automated Speech Processing of the African Language Naija (Nigerian Pidgin),Caron,Bernard,[O-oral-O2],2,0,
bigi2017-ltc,Developing Resources for Automated Speech Processing of the African Language Naija (Nigerian Pidgin),Oyelere,Abiola,[O-oral-O2],2,0,
bigi2011-ltc,A Multilingual Text Normalization Approach,Bigi,Brigitte,[O-oral-O1],1,0,
bigi2013-ltc,A phonetization approach for the forced-alignment task,Bigi,Brigitte,[O-oral-O1],2,0,
bigi2015-ltc,Automatic Syllabification of Polish,Bigi,Brigitte,[O-oral-O2],1,0,
bigi2015-ltc,Automatic Syllabification of Polish,Klessa,Katarzyna,[O-oral-O2],1,0,
